approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
LT 39-05,Ingrida Kirvaitienė,"M. Valančiaus g. 73, Vilkaviškis",Vilkaviškis,LT-70132,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT--69-03 EB,Juozas Burbulevičius,"Lelijų g. 4, Giniūnai, Prienų r.",Giniūnai,LT-59301,Kaunas County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
63-01,Kooperatyvas Gera mėsa,"Tauragės apskr., Pagėgių sav., Stoniškių sen., Šilgaliai, Vilkos g. 2",Šilgaliai,LT-99290,Taurage County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 18-08,Kristina Kučinskienė,"Sasnos g. 5, Kantališkių k., Sasnavos sen., Marijampolės sav.",Kantališkiai,LT-69481,Marijampole County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
LT 33-02,Laima Rinkevičienė,"Nemuno g. 56, Panemuninkų k., Alytaus sen., Alytaus r. sav.",Panemuninkai,LT-62185,Alytus County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
61-07,"MB ""Gurmanas""","Melioratorių g. 1C-1, Mažeikiai. Mažeikių sen., Mažeikių r. sav., Telšių apskr.",Mažeikiai,LT-89145,Telsiai County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 18-17 EB,"MB ""Kiaulienos ūkis""","Patašinės g. 44, Patašinės k., Marijampolės sen., Marijampolės sav.",Patašinė,LT-69104,Marijampole County,Lithuania,RM,SH,Y,porcine,SH - Slaughterhouse,,
LT 39-21,"MB ""Laigrida""","Gluosnių g. 1, Čyčkų k., Šeimenos sen., Vilkaviškio r. sav.",Vilkaviškis,LT-70138,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
41-22,"MB ""Mėsos klubas""","Vilniaus r. sav., Sudervės sen., Buiniškių k., Adomo Mickevičiaus g. 253",Buiniškės,LT-14202,Vilnius County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 18-10,"MB ""Suvalkijos mėsos gaminiai""","Parko g. 3, Narto k., Liudvinavo sen., Marijampolės sav.",Nartas,LT-68124,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT66-02 EB,MB Žibartonių mėsa,"Žibartonių g.50, Žibartonių k., Panevėžio r.",Žibartoniai,LT-38301,Panevezys County,Lithuania,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
52-03,"MBA FOOD, UAB","Parko g. 8, Bubių k., Batniavos sen., Kauno raj.",Bubiai,LT-54189,Kaunas County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
19-42,"Maxima LT, UAB","Savanorių pr. 255, Kaunas",Kaunas,LT-50147,Kaunas County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 94-15 EB,R. Pinaičio IĮ,"Ateities g. 5, Girdžiai, Girdžių sen., Jurbarko r. sav., Tauragės apskr.",Girdžiai,,Taurage County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
73-05,R.Valiulio individuali įmonė,"Juozapavos k. 3, Rokiškio km. sen., Rokiškio r. sav.",Juozapavos k.,LT-42103,Panevezys County,Lithuania,RM,SH,Y,bovine ovine porcine,SH - Slaughterhouse,,
LT 72-08,R.ŠLEPIENĖS ĮMONĖ,Jono Pauliaus II g.13,Šiluva,LT-60432,Kaunas County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
61-05,Romualdo Karbausko ind.įmonė,"Pumpurų g.25, Reivyčiai, Reivyčių sen., Mažeikių r.sav., Telšių apskr.",Reivyčiai,LT-89301,Telsiai County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
18-02,"UAB ""Gergidita""","Šešupės g. 66, Mokolų k., Šunskų sen., Marijampolės sav.",Mokolai,LT-69360,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 84-11,"UAB ""Jautienos guru""","Valių g. 25b, Giedručių k., Šakių sen., Šakių r. sav.",Giedručiai,LT-71104,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
88-24,"UAB ""Klaipėdos mėsinė""","Tauragės apskr., Pagėgių sav., Stoniškių sen., Šilgaliai, Vilkos g. 2",Šilgaliai,LT-99290,Taurage County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 51-08,"UAB ""Leketai""","Patašinės g. 44, Patašinės k., Marijampolės sen., Marijampolės sav.",Patašinė,LT-69047,Marijampole County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
LT 88-25 EB,"UAB ""Linegis""","Šaulių g.4, Gardamas, LT- 99417, Šilutės r. sav",Gardamas,LT-99417,Klaipeda County,Lithuania,RM,SH,Y,,SH - Slaughterhouse,,
LT 19-31,"UAB ""Magnuva""","Europos pr. 122, Kaunas",Kaunas,LT-46351,Kaunas County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
61-01,"UAB ""Mažeikių Mėsinė""","Troškučių g. 2, Mažeikiai, Mažeikių r.sav",Mažeikiai,LT-89100,Telsiai County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 39-08,"UAB ""Provincijos mėsa""","Rūdos k., Gižų sen., Vilkaviškio r. sav.",Gižai,LT-70314,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
42-11,"UAB ""RIMI LIETUVA""","Migūčionių g. 1, Migūčionių k., Elektrėnų sen., Elektrėnų sav.",Gilučiai,LT-26131,Vilnius County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 84-02,"UAB ""Samsonas""","Sodų g. 23, Vilkeliškių k., Šakių sen., Šakių r. sav.",Vilkeliškiai,LT-71124,Marijampole County,Lithuania,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
LT 58-01,"UAB ""Senieji Teresės mėsos gaminiai""","Dariaus ir Girėno g. 3a, Kazlų Rūda",Kazlų Rūda,LT-69428,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 58-02,"UAB ""Vamėsa""","Čečetų k. 7, Kazlų Rūdos sen., Kazlų Rūdos sav.",Čečetai,LT-69394,Marijampole County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
61-12,"UAB ""Vigesta""","Naikių g. 16, Mažeikiai, Mažeikių r. sav.",Mažeikiai,LT-89126,Telsiai County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
19-29,"UAB ""Šilo garsai""","Europos pr. 122, Kaunas",Kaunas,LT-46351,Kaunas County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT49-19EB,"UAB ,,Benerta""","Kriaučiškių g. 4, Kriaučiškių k., Žiežmarių apyl. sen. ,Kaišiadorių r. sav., LT-56117",Kriaučiškės,,Kaunas County,Lithuania,RM,CP,N,,CP - Cutting Plant,,
LT 36-09,UAB AGARAS,"Agaro g. 5, Balandiškių k., Pabiržės sen., Biržų r.",Balandiškiai,LT-41383,Panevezys County,Lithuania,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
87-09,UAB Avirginida,"L. Ivinskio g. 55, 75113 Vingininkai, Šilalės kaimiškoji sen., Šilalės r. sav.",Šilalė,,Taurage County,Lithuania,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
