approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 11920115,maso – uzeniny Gaube Miloslav s.r.o.,"Lovosická 778/2, Prosek, 19000 Praha 9",00 Prague,190,"Capital City of Prague,Prague",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 32910285,strejc maso s.r.o.,Hřbitovní 1246,Nýřany,33023,"Plzeňský kraj,Southwest",Czechia,RM,SH,Y,bovine,SH - Slaughterhouse,,
CZ 11940656,Česká zemědělská univerzita v Praze,"Kamýcká 129, Suchdol, Praha 6",00 Prague,165,"Capital City of Prague,Prague",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 41940109,ŘEZNICTVÍ S BISTREM ABERTAMY,"Farní 28, 36235 Abertamy",Abertamy,36235,"Karlovarský kraj,Northwest",Czechia,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
CZ 53910255,ŘEZNICTVÍ SLOUPNICE s.r.o.,"Dolní Sloupnice č. p. 191, 56553 Sloupnice",Dolní Sloupnice,56553,"Pardubický kraj,Northeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 18995,Řeznictví - Uzenářství Vašíček a spol.,Tabačov 154,Velké Bílovice,69102,"Jihomoravský kraj,Southeast",Czechia,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 415,"Řeznictví - uzenářství Francouz, s. r. o.","Morašice, Skupice 8, 53803 Heřmanův Městec",Skupice,53802,"Pardubický kraj,Northeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 5972,"Řeznictví VRBAS, s.r.o.","náměstí Míru 113, 67974 Olešnice",Olešnice,67974,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 6054,Řeznictví a uzenářství Flajšingr,"náměstí Míru 26, 66701 Židlochovice",Židlochovice,,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 16109,"Řeznictví a uzenářství HEBELKA, s.r.o.",Němčice 33,Němčice,67951,"Jihomoravský kraj,Southeast",Czechia,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 51940166,Řeznictví a uzenářství NOVÝ s.r.o.,V Luzích 1621/12,Jablonec nad Nisou,46602,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 4612,Řeznictví a uzenářství u Krejcarů,Pěnčín 11,Pěnčín,46345,"Liberecký kraj,Northeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 5013,"Řeznictví s uzenářství Oldřich Čejka, s.r.o.","Palackého náměstí 142, 53973 Skuteč",Skuteč,53976,"Pardubický kraj,Northeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 5010,Řeznictví Švanda s.r.o.,"Rváčovská 1698, 53901 Hlinsko",01 Hlinsko,539,"Pardubický kraj,Northeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 31940210,ŠTĚPÁN NETÍK,Netěchovice č. p. 14,01 Týn nad Vltavou,375,"Jihočeský kraj,Southwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 31810025,ARTA TŮMOVÁ,"Chelčice č. p. 95, 38901 Chelčice",Chelčice,38901,"Jihočeský kraj,Southwest",Czechia,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 14640,Alena Sklenářová,"Podbořany 44101,Podbořany,Vroutecká 230",Podbořany,44101,"Ústecký kraj,Northwest",Czechia,PM,CP,N,,CP - Cutting Plant,,
CZ 62810041,"BOVINEX, s.r.o. - Porážka krůt",Areál zemědělského družstva Ostrov u Macochy,Ostrov u Macochy,67914,"Jihomoravský kraj,Southeast; A Poultry",Czechia,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 2171,DIEMA s.r.o.,Na Poříčí 1198,Frýdek-Místek,73801,"Moravskoslezský kraj,Moravia-Silesia",Czechia,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 4502,"DOLS, spol. s r.o.",Nádražní 285,Zákupy,47123,"Liberecký kraj,Northeast; A Poultry",Czechia,PM,CP,N,,CP - Cutting Plant,,
CZ 17800,DRŮBEŽÍ SEN s.r.o.,"Modlany č. p. 110, 41713 Modlany",Modlany,41713,"Ústecký kraj,Northwest",Czechia,PM,CP,N,,CP - Cutting Plant,,
CZ 198,"Drůbež CZ, s.r.o.","Kaštanová 467, 67972 Kunštát Na Moravě",Kunštát,67972,"Jihomoravský kraj,Southeast; A Poultry",Czechia,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ931,Drůbežářský závod Klatovy a.s.,5.května 112,Klatovy,33901,"Plzeňský kraj,Southwest",Czechia,PM,CP,N,,CP - Cutting Plant,,
